ZIP,X,Y,ZIP_CLASS,CITY,STATE,STATECODE,STATENAME,COUNTY,COUNTYNM,MSA,AREACODE,AREACODES,TIMEZONE,GMTOFFSET,DST,PONAME,ALIAS_CITY,ALIAS_CITYN,CITY2,STATENAME2
501.0,-73.046388,40.813078,b'U',b'Holtsville',36.0,b'NY',b'New York',103.0,b'Suffolk',5380.0,631.0,b'631',b'Eastern',-5.0,b'Y',b'Holtsville',,,b'HOLTSVILLE',b'NEWYORK'
544.0,-73.049288,40.813223,b'U',b'Holtsville',36.0,b'NY',b'New York',103.0,b'Suffolk',5380.0,631.0,b'631',b'Eastern',-5.0,b'Y',b'Holtsville',,,b'HOLTSVILLE',b'NEWYORK'
601.0,-66.723627,18.16595,,b'Adjuntas',72.0,b'PR',b'Puerto Rico',1.0,b'Adjuntas',0.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Adjuntas',,b'Colinas Del Gigante||Jard de Adjuntas||Urb San Joaquin',b'ADJUNTAS',b'PUERTORICO'
602.0,-67.186553,18.383005,,b'Aguada',72.0,b'PR',b'Puerto Rico',3.0,b'Aguada',60.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Aguada',,b'Alts de Aguada||Bo Guaniquilla||Colinas Del Valle||Comunidad Las Flores||Ext Los Robles||Sect Juan Ramirez||Sect La Ceiba||Sect Mariano Concepcion||Urb Isabel la Catolica',b'AGUADA',b'PUERTORICO'
603.0,-67.151954,18.433236,,b'Aguadilla',72.0,b'PR',b'Puerto Rico',5.0,b'Aguadilla',60.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Aguadilla',b'Ramey',b'Bda Caban||Bda Esteves||Bo Borinquen||Bo Ceiba Baja||Brisas Del Paraiso||Comunidad Mar Azul||Ext El Prado||Ext Marbella||Jard de Borinquen||Las Brisas||Repto Jimenez||Repto Juan Aguiar||Repto Lopez||Repto Tres Palmas||Sect Las Villas||Urb Borinquen||Urb Cristal||Urb El Prado||Urb Esteves||Urb Garcia',b'AGUADILLA',b'PUERTORICO'
604.0,-67.135899,18.505289,b'P',b'Aguadilla',72.0,b'PR',b'Puerto Rico',5.0,b'Aguadilla',60.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Aguadilla',b'Ramey',,b'AGUADILLA',b'PUERTORICO'
605.0,-67.151346,18.436149,b'P',b'Aguadilla',72.0,b'PR',b'Puerto Rico',5.0,b'Aguadilla',60.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Aguadilla',,,b'AGUADILLA',b'PUERTORICO'
606.0,-66.977377,18.185616,,b'Maricao',72.0,b'PR',b'Puerto Rico',93.0,b'Maricao',0.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Maricao',,,b'MARICAO',b'PUERTORICO'
610.0,-67.144161,18.285948,,b'Anasco',72.0,b'PR',b'Puerto Rico',11.0,b'Anasco',4840.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Anasco',,b'Brisas de Anasco||Est de Valle Verde||Jard de Anasco||Paseo Del Valle||Repto Daguey||Sect Sanchez||Urb Los Arboles||Urb San Antonio||Urb Valle Real',b'ANASCO',b'PUERTORICO'
611.0,-66.797578,18.287716,b'P',b'Angeles',72.0,b'PR',b'Puerto Rico',141.0,b'Utuado',0.0,787.0,b'787/939',b'Atlantic',-4.0,b'N',b'Angeles',,,b'ANGELES',b'PUERTORICO'
