statecode,countycode,v051_rawvalue,v051_flag_CT
00,000,340110988,
01,000,5157699,
01,001,61464,
01,003,261608,
01,005,24358,
01,007,22258,
01,009,60163,
01,011,9901,
01,013,18256,
01,015,116427,
01,017,33813,
01,019,26138,
01,021,47262,
01,023,12052,
01,025,22142,
01,027,14239,
01,029,15905,
01,031,56358,
01,033,58785,
01,035,11109,
01,037,10291,
01,039,37748,
01,041,13114,
01,043,92604,
01,045,50067,
01,047,35545,
01,049,73122,
01,051,91042,
01,053,36630,
01,055,103207,
01,057,15863,
01,059,31874,
01,061,27259,
01,063,7127,
01,065,15116,
01,067,18141,
01,069,109366,
01,071,53780,
01,073,664744,
01,075,13543,
01,077,97502,
01,079,33567,
01,081,187847,
01,083,118942,
01,085,9485,
01,087,18159,
01,089,423355,
01,091,18512,
01,093,29323,
01,095,102156,
01,097,412339,
01,099,19057,
01,101,225894,
01,103,126084,
01,105,7719,
01,107,18508,
01,109,33124,
01,111,23067,
01,113,58837,
01,115,96927,
01,117,235969,
01,119,11607,
01,121,81375,
01,123,40699,
01,125,241212,
01,127,65260,
01,129,15018,
01,131,9865,
01,133,23869,
02,000,740133,
02,013,3632,
02,016,5424,
02,020,289600,
02,050,18237,
02,060,884,
02,063,6604,
02,066,2631,
02,068,1621,
02,070,4642,
02,090,94951,
02,100,2104,
02,105,2312,
02,110,31572,
02,122,61259,
02,130,13677,
02,150,12654,
02,158,7946,
02,164,1315,
02,170,117613,
02,180,9836,
02,185,10663,
02,188,7134,
02,195,3436,
02,198,5746,
02,220,8355,
02,230,1119,
02,240,7313,
02,275,2064,
02,282,690,
02,290,5099,
04,000,7582384,
04,001,64800,
04,003,125773,
04,005,145161,
04,007,54073,
04,009,40242,
04,011,9410,
04,012,16992,
04,013,4673096,
04,015,226479,
04,017,109516,
04,019,1080149,
04,021,513862,
04,023,50508,
04,025,252013,
04,027,220310,
05,000,3088354,
05,001,16050,
05,003,17984,
05,005,43007,
05,007,321566,
05,009,38636,
05,011,9935,
05,013,4690,
05,015,28968,
05,017,9272,
05,019,20920,
05,021,14112,
05,023,25646,
05,025,7367,
05,027,22024,
05,029,21422,
05,031,115852,
05,033,62258,
05,035,46633,
05,037,16194,
05,039,6076,
05,041,10321,
05,043,16935,
05,045,131611,
05,047,17586,
05,049,12546,
05,051,99902,
05,053,18546,
05,055,46928,
05,057,19105,
05,059,33313,
05,061,12387,
05,063,38345,
05,065,14291,
05,067,16673,
05,069,63672,
05,071,26172,
05,073,6015,
05,075,16305,
05,077,8104,
05,079,12868,
05,081,11626,
05,083,21457,
05,085,76389,
05,087,17865,
05,089,17593,
05,091,41958,
05,093,38095,
05,095,6415,
05,097,8510,
05,099,8004,
05,101,7026,
05,103,21684,
05,105,10251,
05,107,14661,
05,109,10027,
05,111,22300,
05,113,19434,
05,115,64829,
05,117,7935,
05,119,401209,
05,121,19040,
05,123,21822,
05,125,131252,
05,127,9837,
05,129,7836,
05,131,130035,
05,133,15735,
05,135,18130,
05,137,12785,
05,139,37008,
05,141,16152,
05,143,266184,
05,145,79091,
05,147,5808,
05,149,20134,
06,000,39431263,
06,001,1649060,
06,003,1099,
