statecode,countycode,v057_rawvalue,v057_numerator,v057_denominator,v057_flag_CT
00,000,0.5050501514523253,171773106,340110988,
01,000,0.5146731129521129,2654529,5157699,
01,001,0.5159931016530002,31715,61464,
01,003,0.5140936057001315,134491,261608,
01,005,0.4723294194925692,11505,24358,
01,007,0.4702129571390062,10466,22258,
01,009,0.5024350514435783,30228,60163,
01,011,0.45015654984345016,4457,9901,
01,013,0.5305652936021035,9686,18256,
01,015,0.5163493004200057,60117,116427,
01,017,0.5279330435039777,17851,33813,
01,019,0.501645114392838,13112,26138,
01,021,0.5071516228682662,23969,47262,
01,023,0.5237305011616329,6312,12052,
01,025,0.5262397254087255,11652,22142,
01,027,0.5107100217711918,7272,14239,
01,029,0.5036780886513675,8011,15905,
01,031,0.504702083111537,28444,56358,
01,033,0.5204729097558901,30596,58785,
01,035,0.5178683949950491,5753,11109,
01,037,0.4952871441065008,5097,10291,
01,039,0.5196301790823354,19615,37748,
01,041,0.510523105078542,6695,13114,
01,043,0.5016198004405857,46452,92604,
01,045,0.5097768989553998,25523,50067,
01,047,0.5352651568434379,19026,35545,
01,049,0.4995486994338229,36528,73122,
01,051,0.514498802750379,46841,91042,
01,053,0.5001638001638001,18321,36630,
01,055,0.5128334318408635,52928,103207,
01,057,0.5093614070478472,8080,15863,
01,059,0.5008470853987577,15964,31874,
01,061,0.5101434388642283,13906,27259,
01,063,0.5369720780131892,3827,7127,
01,065,0.5248081503043133,7933,15116,
01,067,0.5180530290502178,9398,18141,
01,069,0.5199696432163561,56867,109366,
01,071,0.5079397545555969,27317,53780,
01,073,0.5258761267495456,349573,664744,
01,075,0.5043934135715868,6831,13543,
01,077,0.5198662591536584,50688,97502,
01,079,0.5112461643876426,17161,33567,
01,081,0.5052462908643737,94909,187847,
01,083,0.49654453431084056,59060,118942,
01,085,0.5256721138639958,4986,9485,
01,087,0.5449088606200782,9895,18159,
01,089,0.5069244487486861,214609,423355,
01,091,0.5285220397579948,9784,18512,
01,093,0.5026429765030863,14739,29323,
01,095,0.5044343944555386,51531,102156,
01,097,0.5233121290976599,215782,412339,
01,099,0.5251088838746917,10007,19057,
01,101,0.5300937607904592,119745,225894,
01,103,0.5022762602709305,63329,126084,
01,105,0.5367275553828216,4143,7719,
01,107,0.49378647071536635,9139,18508,
01,109,0.5238799661876585,17353,33124,
01,111,0.5110330775566827,11788,23067,
01,113,0.5249927766541462,30889,58837,
01,115,0.507082649829253,49150,96927,
01,117,0.514025147371053,121294,235969,
01,119,0.5414835874903076,6285,11607,
01,121,0.5123440860215054,41692,81375,
01,123,0.5114376274601341,20815,40699,
01,125,0.5186474968077873,125104,241212,
01,127,0.5119368679129636,33409,65260,
01,129,0.5105207084831536,7667,15018,
01,131,0.5322858590978206,5251,9865,
01,133,0.5013197033809543,11966,23869,
02,000,0.47474980848036774,351378,740133,
02,013,0.2899229074889868,1053,3632,
02,016,0.29646017699115046,1608,5424,
02,020,0.4878556629834254,141283,289600,
02,050,0.47639414377364697,8688,18237,
02,060,0.4343891402714932,384,884,
02,063,0.46532404603270744,3073,6604,
02,066,0.4640820980615735,1221,2631,
02,068,0.4565083281924738,740,1621,
02,070,0.47414907367514003,2201,4642,
02,090,0.4618908700276985,43857,94951,
02,100,0.4852661596958175,1021,2104,
02,105,0.4563148788927336,1055,2312,
02,110,0.4938553148359306,15592,31572,
02,122,0.4774971840872362,29251,61259,
02,130,0.47707830664619433,6525,13677,
02,150,0.47060218112849694,5955,12654,
02,158,0.4702995217719607,3737,7946,
02,164,0.48212927756653995,634,1315,
02,170,0.4761123345208438,55997,117613,
02,180,0.4791581943879626,4713,9836,
02,185,0.36059270374191127,3845,10663,
02,188,0.46761984861227923,3336,7134,
02,195,0.46449359720605354,1596,3436,
02,198,0.45788374521406194,2631,5746,
02,220,0.4894075403949731,4089,8355,
02,230,0.4718498659517426,528,1119,
02,240,0.42773143716668943,3128,7313,
02,275,0.4806201550387597,992,2064,
02,282,0.4289855072463768,296,690,
02,290,0.4606785644243969,2349,5099,
04,000,0.5009341389198965,3798275,7582384,
04,001,0.5069135802469136,32848,64800,
04,003,0.49703036422761643,62513,125773,
04,005,0.5067752357726938,73564,145161,
04,007,0.5005640522996689,27067,54073,
04,009,0.46058843993837284,18535,40242,
04,011,0.48214665249734323,4537,9410,
04,012,0.4921139359698682,8362,16992,
04,013,0.5023153814944097,2347368,4673096,
04,015,0.4945977331231593,112016,226479,
04,017,0.5023284268965266,55013,109516,
04,019,0.5055534005030787,546073,1080149,
04,021,0.48615387010520333,249816,513862,
04,023,0.5132058287795993,25921,50508,
04,025,0.5071087602623674,127798,252013,
04,027,0.48497117697789477,106844,220310,
05,000,0.506360669793683,1563821,3088354,
05,001,0.5137694704049844,8246,16050,
05,003,0.5136788256227758,9238,17984,
05,005,0.5109400795219383,21974,43007,
05,007,0.4978387018528078,160088,321566,
05,009,0.5046329847810332,19497,38636,
05,011,0.5175641670860593,5142,9935,
05,013,0.4936034115138593,2315,4690,
05,015,0.4960646230323115,14370,28968,
