"fipscode","statecode","countycode","v088_numerator","v088_denominator","v088_cilow","v088_cihigh","problem","v088_rawvalue","v088_rawalternatevalue","v088_flag_ct"
"01000","01","000",2518,5108468,NA,NA,NA,0.00049290707116106,2028.77998411438,NA
"02000","02","000",780,733406,NA,NA,NA,0.00106353097738497,940.264102564103,NA
"04000","04","000",5017,7431344,NA,NA,NA,0.000675113411517486,1481.23260912896,NA
"05000","05","000",1522,3067732,NA,NA,NA,0.000496131995884908,2015.5926412615,NA
"06000","06","000",36981,38965193,NA,NA,NA,0.000949077809007644,1053.65439009221,NA
"08000","08","000",5186,5877610,NA,NA,NA,0.000882331423827032,1133.36097184728,NA
"09000","09","000",NA,NA,NA,NA,NA,NA,NA,"U"
"10000","10","000",478,1031890,NA,NA,NA,0.000463227669615947,2158.76569037657,NA
"11000","11","000",886,678972,NA,NA,NA,0.00130491389924769,766.334085778781,NA
"12000","12","000",14772,22610726,NA,NA,NA,0.000653318252585078,1530.64757649607,NA
"13000","13","000",6000,11029227,NA,NA,NA,0.000544009113240665,1838.2045,NA
"15000","15","000",1323,1435138,NA,NA,NA,0.000921862566526703,1084.76039304611,NA
"16000","16","000",1301,1964726,NA,NA,NA,0.000662178848348319,1510.16602613374,NA
"17000","17","000",10753,12549689,NA,NA,NA,0.00085683398210107,1167.08723147029,NA
"18000","18","000",4150,6862199,NA,NA,NA,0.000604762409251029,1653.54192771084,NA
"19000","19","000",2328,3207004,NA,NA,NA,0.000725911161944294,1377.57903780069,NA
"20000","20","000",1879,2940546,NA,NA,NA,0.000638996975391645,1564.95263437999,NA
"21000","21","000",3052,4526154,NA,NA,NA,0.00067430317218548,1483.0124508519,NA
"22000","22","000",2746,4573749,NA,NA,NA,0.000600382749468762,1665.60415149308,NA
"23000","23","000",1003,1395722,NA,NA,NA,0.00071862448252589,1391.54735792622,NA
"24000","24","000",5095,6180253,NA,NA,NA,0.000824399907252988,1213.00353287537,NA
"25000","25","000",7802,7001399,NA,NA,NA,0.0011143487180205,897.385157651884,NA
"26000","26","000",8190,10037261,NA,NA,NA,0.000815959652737933,1225.55079365079,NA
"27000","27","000",4499,5737915,NA,NA,NA,0.000784082719942697,1275.3756390309,NA
"28000","28","000",1539,2939690,NA,NA,NA,0.000523524589327446,1910.12995451592,NA
"29000","29","000",3956,6196156,NA,NA,NA,0.000638460361553195,1566.26794742164,NA
"30000","30","000",852,1132812,NA,NA,NA,0.000752110676793678,1329.59154929577,NA
"31000","31","000",1668,1978379,NA,NA,NA,0.000843114489185338,1186.07853717026,NA
"32000","32","000",2149,3194176,NA,NA,NA,0.000672786972289567,1486.35458352722,NA
"33000","33","000",1115,1402054,NA,NA,NA,0.000795261808746311,1257.44753363229,NA
"34000","34","000",8153,9290841,NA,NA,NA,0.000877530893059089,1139.56102048326,NA
"35000","35","000",1472,2114371,NA,NA,NA,0.000696188133492183,1436.3933423913,NA
"36000","36","000",16479,19571216,NA,NA,NA,0.000842001845976254,1187.64585229686,NA
"37000","37","000",6729,10835491,NA,NA,NA,0.000621014774503527,1610.26764749591,NA
"38000","38","000",548,783926,NA,NA,NA,0.000699045573179101,1430.52189781022,NA
"39000","39","000",7741,11785935,NA,NA,NA,0.000656799821142743,1522.5339103475,NA
"40000","40","000",2629,4053824,NA,NA,NA,0.000648523468211743,1541.96424496006,NA
"41000","41","000",3651,4233358,NA,NA,NA,0.00086243591966472,1159.50643659271,NA
