statecode,countycode,v141_rawvalue,state,county,fipscode
00,000,62.7777403226904,US,United States,00000
01,000,57.930551950922094,AL,Alabama,01000
01,001,36.14689325669141,AL,Autauga County,01001
01,003,45.75664990466178,AL,Baldwin County,01003
01,005,20.83374681532687,AL,Barbour County,01005
01,007,52.67835145883926,AL,Bibb County,01007
01,009,68.18397341921455,AL,Blount County,01009
01,011,43.385754718536134,AL,Bullock County,01011
01,013,29.38665118650191,AL,Butler County,01013
01,015,48.88876126123454,AL,Calhoun County,01015
01,017,32.931221305525916,AL,Chambers County,01017
01,019,52.581209561796925,AL,Cherokee County,01019
01,021,43.74700314222479,AL,Chilton County,01021
01,023,28.39701191481377,AL,Choctaw County,01023
01,025,23.525610902255643,AL,Clarke County,01025
01,027,31.893926052258376,AL,Clay County,01027
01,029,53.24592487597448,AL,Cleburne County,01029
01,031,44.019192300323255,AL,Coffee County,01031
01,033,28.805645734187667,AL,Colbert County,01033
01,035,12.494052608284266,AL,Conecuh County,01035
01,037,48.924330168072125,AL,Coosa County,01037
01,039,46.58451875202972,AL,Covington County,01039
01,041,25.882160359309626,AL,Crenshaw County,01041
01,043,79.90558730044677,AL,Cullman County,01043
01,045,39.82708515210703,AL,Dale County,01045
01,047,52.09063920187603,AL,Dallas County,01047
01,049,73.06451371132431,AL,DeKalb County,01049
01,051,30.438013930332165,AL,Elmore County,01051
01,053,37.95673406122948,AL,Escambia County,01053
01,055,64.56560608381609,AL,Etowah County,01055
01,057,34.340573244625716,AL,Fayette County,01057
01,059,65.2266836851297,AL,Franklin County,01059
01,061,21.087227607760347,AL,Geneva County,01061
01,063,22.0312507786297,AL,Greene County,01063
01,065,25.467364637260374,AL,Hale County,01065
01,067,41.19300934786318,AL,Henry County,01067
01,069,47.67428232984228,AL,Houston County,01069
01,071,59.876699641949415,AL,Jackson County,01071
01,073,64.19293807379351,AL,Jefferson County,01073
01,075,22.315525775431954,AL,Lamar County,01075
01,077,45.84879400662069,AL,Lauderdale County,01077
01,079,69.37742614171366,AL,Lawrence County,01079
01,081,35.4182476440578,AL,Lee County,01081
01,083,40.79308518200854,AL,Limestone County,01083
01,085,32.70893576900548,AL,Lowndes County,01085
01,087,52.14743050304252,AL,Macon County,01087
01,089,48.757416057746376,AL,Madison County,01089
01,091,24.05802835536442,AL,Marengo County,01091
01,093,43.257904312154,AL,Marion County,01093
01,095,60.2804670198245,AL,Marshall County,01095
01,097,55.14189170968915,AL,Mobile County,01097
01,099,37.68293985841896,AL,Monroe County,01099
01,101,51.229332138288285,AL,Montgomery County,01101
01,103,60.92047251021568,AL,Morgan County,01103
01,105,58.41179352415765,AL,Perry County,01105
01,107,24.2203844742356,AL,Pickens County,01107
01,109,26.380295078337696,AL,Pike County,01109
01,111,43.318316014585676,AL,Randolph County,01111
01,113,37.69062390613069,AL,Russell County,01113
01,115,32.138797136777484,AL,St. Clair County,01115
01,117,30.553594485044535,AL,Shelby County,01117
01,119,23.567654397495062,AL,Sumter County,01119
01,121,33.74338340675455,AL,Talladega County,01121
01,123,35.311629624246024,AL,Tallapoosa County,01123
01,125,53.95724592612326,AL,Tuscaloosa County,01125
01,127,46.59558225215428,AL,Walker County,01127
01,129,39.61538790744417,AL,Washington County,01129
01,131,30.84604430381372,AL,Wilcox County,01131
01,133,,AL,Winston County,01133
02,000,59.253834685886254,AK,Alaska,02000
02,013,,AK,Aleutians East Borough,02013
02,016,,AK,Aleutians West Census Area,02016
02,020,45.963242491038734,AK,Anchorage Borough,02020
02,050,3.939393939393935,AK,Bethel Census Area,02050
02,060,,AK,Bristol Bay Borough,02060
02,063,,AK,Chugach Census Area,02063
02,066,,AK,Copper River Census Area,02066
02,068,,AK,Denali Borough,02068
02,070,,AK,Dillingham Census Area,02070
02,090,59.94381289752915,AK,Fairbanks North Star Borough,02090
02,100,,AK,Haines Borough,02100
02,105,,AK,Hoonah-Angoon Census Area,02105
02,110,52.36101965948641,AK,Juneau Borough,02110
02,122,51.92912083367794,AK,Kenai Peninsula Borough,02122
02,130,,AK,Ketchikan Gateway Borough,02130
02,150,,AK,Kodiak Island Borough,02150
02,158,,AK,Kusilvak Census Area,02158
02,164,,AK,Lake and Peninsula Borough,02164
02,170,47.79473555914714,AK,Matanuska-Susitna Borough,02170
02,180,,AK,Nome Census Area,02180
02,185,15.81227436823105,AK,North Slope Borough,02185
02,188,,AK,Northwest Arctic Borough,02188
02,195,,AK,Petersburg Census Area,02195
02,198,,AK,Prince of Wales-Hyder Census Area,02198
02,220,,AK,Sitka Borough,02220
02,230,,AK,Skagway Municipality,02230
02,240,,AK,Southeast Fairbanks Census Area,02240
02,275,,AK,Wrangell City,02275
02,282,,AK,Yakutat Borough,02282
02,290,,AK,Yukon-Koyukuk Census Area,02290
04,000,52.20129685678047,AZ,Arizona,04000
04,001,97.57187117227465,AZ,Apache County,04001
04,003,51.67713733683348,AZ,Cochise County,04003
04,005,57.94743657817115,AZ,Coconino County,04005
04,007,,AZ,Gila County,04007
04,009,75.75884446305213,AZ,Graham County,04009
04,011,57.12214570496557,AZ,Greenlee County,04011
04,012,56.888844740240394,AZ,La Paz County,04012
04,013,50.17212499846673,AZ,Maricopa County,04013
04,015,64.90621267123731,AZ,Mohave County,04015
04,017,70.86780992403095,AZ,Navajo County,04017
04,019,44.02754020161181,AZ,Pima County,04019
04,021,47.57828525596075,AZ,Pinal County,04021
04,023,,AZ,Santa Cruz County,04023
04,025,78.13766600153929,AZ,Yavapai County,04025
04,027,53.96162929553603,AZ,Yuma County,04027
05,000,65.20758050496786,AR,Arkansas,05000
05,001,41.180557880140675,AR,Arkansas County,05001
05,003,24.977125557060383,AR,Ashley County,05003
05,005,79.13213468314795,AR,Baxter County,05005
05,007,51.438371686724,AR,Benton County,05007
05,009,,AR,Boone County,05009
05,011,27.935518890742863,AR,Bradley County,05011
05,013,19.236491424968914,AR,Calhoun County,05013
05,015,,AR,Carroll County,05015
05,017,57.75650259823437,AR,Chicot County,05017
05,019,21.173864789144464,AR,Clark County,05019
05,021,,AR,Clay County,05021
05,023,,AR,Cleburne County,05023
05,025,13.523834514854396,AR,Cleveland County,05025
05,027,42.65141365898219,AR,Columbia County,05027
05,029,35.89361497239556,AR,Conway County,05029
05,031,45.799305577700785,AR,Craighead County,05031
05,033,66.3681769299164,AR,Crawford County,05033
05,035,48.01408932815332,AR,Crittenden County,05035
05,037,58.845398366658486,AR,Cross County,05037
05,039,39.06664745733961,AR,Dallas County,05039
05,041,26.51386105624986,AR,Desha County,05041
05,043,34.56810872224225,AR,Drew County,05043
05,045,34.944001313120424,AR,Faulkner County,05045
05,047,,AR,Franklin County,05047
05,049,,AR,Fulton County,05049
05,051,44.722906000896465,AR,Garland County,05051
05,053,22.74581805114809,AR,Grant County,05053
05,055,68.61696146580488,AR,Greene County,05055
05,057,33.887602040075635,AR,Hempstead County,05057
05,059,68.47182639982019,AR,Hot Spring County,05059
05,061,43.23788154942459,AR,Howard County,05061
05,063,61.22055706239,AR,Independence County,05063
05,065,,AR,Izard County,05065
05,067,47.077890705337474,AR,Jackson County,05067
05,069,61.73677072877083,AR,Jefferson County,05069
05,071,42.86279691248801,AR,Johnson County,05071
05,073,28.495702316774473,AR,Lafayette County,05073
05,075,,AR,Lawrence County,05075
05,077,61.57767627477898,AR,Lee County,05077
05,079,58.326461579886235,AR,Lincoln County,05079
05,081,42.371665208834465,AR,Little River County,05081
05,083,66.06990622335891,AR,Logan County,05083
05,085,54.991634367475996,AR,Lonoke County,05085
05,087,,AR,Madison County,05087
05,089,,AR,Marion County,05089
05,091,54.41245680562455,AR,Miller County,05091
05,093,55.62392875629922,AR,Mississippi County,05093
05,095,31.3659154267318,AR,Monroe County,05095
05,097,,AR,Montgomery County,05097
05,099,8.537779625371419,AR,Nevada County,05099
05,101,,AR,Newton County,05101
05,103,31.853239489443887,AR,Ouachita County,05103
05,105,43.14586380576324,AR,Perry County,05105
05,107,34.74884749802813,AR,Phillips County,05107
05,109,56.513782311348095,AR,Pike County,05109
05,111,27.728549720250967,AR,Poinsett County,05111
05,113,,AR,Polk County,05113
05,115,47.0124602536107,AR,Pope County,05115
05,117,22.50444726466106,AR,Prairie County,05117
05,119,50.19136962550057,AR,Pulaski County,05119
05,121,64.32355702907364,AR,Randolph County,05121
05,123,52.211929568916446,AR,St. Francis County,05123
05,125,41.62206478285385,AR,Saline County,05125
05,127,,AR,Scott County,05127
05,129,,AR,Searcy County,05129
05,131,53.23995135985376,AR,Sebastian County,05131
05,133,37.21927986283101,AR,Sevier County,05133
05,135,,AR,Sharp County,05135
05,137,,AR,Stone County,05137
05,139,42.29023135000709,AR,Union County,05139
05,141,,AR,Van Buren County,05141
05,143,50.14504822866969,AR,Washington County,05143
05,145,64.08992276746444,AR,White County,05145
05,147,23.680723710023326,AR,Woodruff County,05147
05,149,60.76274986766902,AR,Yell County,05149
06,000,60.09222534016955,CA,California,06000
06,001,52.6051913181688,CA,Alameda County,06001
06,003,,CA,Alpine County,06003
06,005,71.52317880794702,CA,Amador County,06005
06,007,68.05656755986632,CA,Butte County,06007
06,009,80.99159830971911,CA,Calaveras County,06009
06,011,61.43856143856144,CA,Colusa County,06011
06,013,57.78999148637652,CA,Contra Costa County,06013
06,015,,CA,Del Norte County,06015
06,017,75.97953884952045,CA,El Dorado County,06017
06,019,51.200920409140515,CA,Fresno County,06019
06,021,,CA,Glenn County,06021
06,023,64.0724011800186,CA,Humboldt County,06023
06,025,56.649496475155445,CA,Imperial County,06025
06,027,,CA,Inyo County,06027
06,029,49.76647703840262,CA,Kern County,06029
06,031,37.075044654528725,CA,Kings County,06031
06,033,60.39293592939228,CA,Lake County,06033
06,035,65.84956228982423,CA,Lassen County,06035
06,037,61.54319854417232,CA,Los Angeles County,06037
06,039,55.94074606208766,CA,Madera County,06039
06,041,56.67077348655498,CA,Marin County,06041
06,043,,CA,Mariposa County,06043
06,045,56.68461719722595,CA,Mendocino County,06045
06,047,48.22793538420616,CA,Merced County,06047
06,049,,CA,Modoc County,06049
06,051,,CA,Mono County,06051
06,053,58.904712776202814,CA,Monterey County,06053
06,055,63.67911234538922,CA,Napa County,06055
06,057,85.46063767314932,CA,Nevada County,06057
06,059,51.12790478273917,CA,Orange County,06059
06,061,52.99694448264517,CA,Placer County,06061
06,063,69.4341682333677,CA,Plumas County,06063
06,065,43.88451769722569,CA,Riverside County,06065
06,067,47.429565434152146,CA,Sacramento County,06067
06,069,49.744174953525366,CA,San Benito County,06069
06,071,46.064448588934404,CA,San Bernardino County,06071
06,073,55.36189627378925,CA,San Diego County,06073
06,075,61.194758202378296,CA,San Francisco County,06075
06,077,53.58574943980779,CA,San Joaquin County,06077
06,079,59.90384945564035,CA,San Luis Obispo County,06079
06,081,61.01296675345043,CA,San Mateo County,06081
06,083,52.18813074348573,CA,Santa Barbara County,06083
06,085,53.52953785535611,CA,Santa Clara County,06085
06,087,69.4688788825848,CA,Santa Cruz County,06087
06,089,70.19758385845533,CA,Shasta County,06089
06,091,,CA,Sierra County,06091
06,093,43.10402518330408,CA,Siskiyou County,06093
06,095,43.212832352874635,CA,Solano County,06095
06,097,59.140266216237606,CA,Sonoma County,06097
06,099,49.32995368632327,CA,Stanislaus County,06099
06,101,48.699812415964836,CA,Sutter County,06101
06,103,81.70460438637457,CA,Tehama County,06103
06,105,,CA,Trinity County,06105
06,107,54.47025834476263,CA,Tulare County,06107
06,109,48.589818391886546,CA,Tuolumne County,06109
06,111,52.46572609729242,CA,Ventura County,06111
06,113,45.67939425308022,CA,Yolo County,06113
06,115,39.36846794807849,CA,Yuba County,06115
08,000,65.9562251449722,CO,Colorado,08000
08,001,56.38196064873282,CO,Adams County,08001
08,003,47.3737722529159,CO,Alamosa County,08003
08,005,49.51763264417256,CO,Arapahoe County,08005
08,007,,CO,Archuleta County,08007
08,009,,CO,Baca County,08009
08,011,,CO,Bent County,08011
08,013,57.3053225032652,CO,Boulder County,08013
08,014,53.925387121782045,CO,Broomfield County,08014
08,015,,CO,Chaffee County,08015
08,017,,CO,Cheyenne County,08017
08,019,,CO,Clear Creek County,08019
08,021,,CO,Conejos County,08021
08,023,,CO,Costilla County,08023
08,025,,CO,Crowley County,08025
08,027,,CO,Custer County,08027
08,029,74.60097414762082,CO,Delta County,08029
08,031,57.36634798414247,CO,Denver County,08031
08,033,,CO,Dolores County,08033
08,035,49.24154264516174,CO,Douglas County,08035
08,037,81.27457337259169,CO,Eagle County,08037
08,039,,CO,Elbert County,08039
08,041,45.92862471180098,CO,El Paso County,08041
08,043,,CO,Fremont County,08043
08,045,85.65344506088996,CO,Garfield County,08045
08,047,,CO,Gilpin County,08047
08,049,,CO,Grand County,08049
08,051,,CO,Gunnison County,08051
08,053,,CO,Hinsdale County,08053
08,055,,CO,Huerfano County,08055
08,057,,CO,Jackson County,08057
08,059,61.793936529154124,CO,Jefferson County,08059
08,061,,CO,Kiowa County,08061
08,063,,CO,Kit Carson County,08063
08,065,,CO,Lake County,08065
08,067,,CO,La Plata County,08067
08,069,61.97398095737295,CO,Larimer County,08069
08,071,,CO,Las Animas County,08071
08,073,,CO,Lincoln County,08073
08,075,26.538143411592547,CO,Logan County,08075
08,077,69.8958861002496,CO,Mesa County,08077
08,079,,CO,Mineral County,08079
08,081,,CO,Moffat County,08081
08,083,84.04075546719683,CO,Montezuma County,08083
08,085,,CO,Montrose County,08085
08,087,52.08795344602218,CO,Morgan County,08087
08,089,33.1843119977708,CO,Otero County,08089
08,091,25.930680359435176,CO,Ouray County,08091
