statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
00,000,241494,1669691308,13.919478418419432,14.463392055940439,13.862725839026481,13.976230997812383,,
01,000,4164,25301872,16.148624266880827,16.457280315069177,15.644467215926536,16.652781317835117,,
01,001,47,296805,15.620272772436298,15.835312747426762,11.393534145913952,20.901153936814133,,
01,003,234,1230131,18.576667169161244,19.022364284779425,16.07228133518421,21.081053003138276,,
01,005,17,123202,12.732958018313898,13.79847729744647,7.126539945084307,21.001077883635098,,
01,007,20,110744,18.20565942623181,18.05966914686123,10.960996249104852,28.430392368941114,,
01,009,68,296411,22.66682152656969,22.94111891933835,17.41780802554928,29.00071123101618,,
01,011,,,,,,,,
01,013,20,93676,19.341024974795516,21.350185746615995,11.462717170185936,30.567157878403023,,
01,015,126,578085,21.746395567457487,21.796102649264384,17.82695232752691,25.665838807388063,,
01,017,37,169386,21.503286165707884,21.8435998252512,14.801872766894151,30.19860861319906,,
01,019,31,128396,21.61798133252482,24.144054331910652,14.1215831363532,31.675351441246647,,
01,021,29,229248,12.682146989921867,12.650055834729203,8.35761477880475,18.45185803186148,,
01,023,,,,,,,,
01,025,10,113045,9.988172916768283,8.846034764916627,4.567228679292341,18.960663457974917,,
01,027,13,69850,18.97538697580257,18.61130994989263,9.804859346711096,33.14618232627957,,
01,029,22,76960,30.847599543602776,28.58627858627859,19.095150311025236,47.153832703264534,,
01,031,55,274210,19.617075550296466,20.05762007220743,14.694535737678237,25.65961781780263,,
01,033,58,288064,19.068734031092923,20.13441457453899,14.28379031185112,24.942373609800203,,
01,035,15,56668,23.964824307483823,26.469965412578528,12.382974423823777,41.86172524049504,,
01,037,12,51825,23.49140627501007,23.1548480463097,11.265042410743783,43.20153253251258,,
01,039,38,187756,21.069122517021878,20.239033639404333,14.675415807271596,29.302049109782278,,
01,041,10,66004,14.280274981694932,15.15059693351918,6.529851053648021,27.10841014383071,,
01,043,93,449296,20.369407075057783,20.699049179160284,16.292896406391087,25.156052030662465,,
01,045,47,247783,19.32974724532503,18.96821008705198,14.09925028070729,25.864722634496815,,
