statecode,countycode,v168_flag_CT,v168_numerator,v168_denominator,v168_rawvalue,v168_cilow,v168_cihigh
00,000,,206814893,230807303,0.8960500396298119,0.8952386571000601,0.8968614221595637
01,000,,3078391,3473706,0.8861979108191654,0.8841139529739224,0.8882818686644085
01,001,,37799,41392,0.9131957866254349,0.8978683846698838,0.9285231885809859
01,003,,163080,177628,0.918098497984552,0.9098962833645661,0.926300712604538
01,005,,13763,17615,0.7813227363042862,0.7559350646952535,0.8067104079133188
01,007,,13133,15965,0.8226119636705292,0.792793033547919,0.8524308937931395
01,009,,34260,41174,0.8320784961383397,0.8157007956330803,0.8484561966435992
01,011,,5438,7269,0.7481084055578484,0.7015599106400913,0.7946569004756056
01,013,,11395,13103,0.8696481721743112,0.8498155614742057,0.8894807828744168
01,015,,67821,78486,0.8641158932803302,0.8510632942762463,0.8771684922844142
01,017,,20333,24289,0.8371279179875664,0.8126064727490997,0.861649363226033
01,019,,15677,19019,0.824280982175719,0.7930220371825552,0.8555399271688828
01,021,,26566,31095,0.8543495738864769,0.8326729596206109,0.8760261881523429
01,023,,7759,9003,0.8618238364989448,0.8349116759841209,0.8887359970137687
01,025,,13629,15834,0.8607427055702918,0.8325362901645333,0.8889491209760502
01,027,,8515,10235,0.8319491939423547,0.7990882436881976,0.8648101441965117
01,029,,9452,11005,0.8588823262153567,0.8303256586216596,0.8874389938090537
01,031,,32498,37306,0.8711199270894763,0.856923028416298,0.8853168257626546
01,033,,35969,41177,0.8735216261505209,0.8534708326900993,0.8935724196109425
01,035,,7210,8071,0.8933217692974849,0.862736908413797,0.9239066301811727
01,037,,6544,7807,0.8382221083642885,0.8020112054801916,0.8744330112483854
01,039,,22524,26425,0.8523746452223273,0.8320259675513834,0.8727233228932713
01,041,,7838,9117,0.8597126247669189,0.8360485915857595,0.8833766579480783
01,043,,54605,63243,0.8634157139920624,0.8465508785507108,0.880280549433414
01,045,,29121,33641,0.8656401414940103,0.8432343642335177,0.8880459187545028
01,047,,22063,25176,0.8763504925325707,0.8550393139712928,0.8976616710938485
01,049,,38619,48738,0.7923796626861996,0.7737817690510655,0.8109775563213337
01,051,,56157,62596,0.8971340021726628,0.8854865379161289,0.9087814664291968
01,053,,21630,25637,0.843702461286422,0.8231430672318497,0.8642618553409943
01,055,,62378,72481,0.8606117465266759,0.8467478609624217,0.8744756320909302
01,057,,9719,11345,0.8566769501983252,0.829582283401602,0.8837716169950485
01,059,,17095,21249,0.8045084474563509,0.7786091164685119,0.8304077784441898
01,061,,16001,19064,0.8393306756189677,0.808692575528618,0.8699687757093174
01,063,,4471,5143,0.8693369628621427,0.8222536100734302,0.9164203156508551
01,065,,8325,10178,0.8179406563175476,0.7723643749993842,0.8635169376357111
01,067,,10758,12865,0.8362223085891954,0.8080432020898505,0.8644014150885404
01,069,,65901,74980,0.8789143771672446,0.8710914441317765,0.8867373102027127
01,071,,31450,37972,0.8282418624249447,0.8112687653555086,0.8452149594943807
01,073,,413070,453037,0.9117798325523081,0.9067705347128213,0.9167891303917949
01,075,,8109,9714,0.8347745521927116,0.7998518775137445,0.8696972268716786
01,077,,59419,65584,0.9059984142473774,0.893905686908305,0.9180911415864498
01,079,,19929,23444,0.8500682477392937,0.8272837288861172,0.8728527665924701
01,081,,103927,112781,0.9214938686480879,0.9116606572136252,0.9313270800825506
01,083,,67806,78232,0.8667297269659474,0.8496369599190768,0.883822494012818
01,085,,5699,6897,0.826301290416123,0.7895357178577833,0.8630668629744627
01,087,,9675,11437,0.8459386202675527,0.8173571767481295,0.874520063786976
01,089,,258757,278833,0.9279999139269742,0.9202571532318957,0.9357426746220527
01,091,,11050,12882,0.8577860580655178,0.8225927386656573,0.8929793774653783
01,093,,17304,20856,0.8296892980437284,0.8055164177428398,0.853862178344617
01,095,,55645,65581,0.8484927036794193,0.8345861597675436,0.862399247591295
01,097,,250599,280484,0.8934520329145335,0.8871453751912864,0.8997586906377805
01,099,,11302,13443,0.8407349549951648,0.8120191179698324,0.8694507920204972
01,101,,134128,150322,0.892271257700137,0.8828961741396967,0.9016463412605774
01,103,,73306,85362,0.8587661957311216,0.8434129931841622,0.8741193982780809
01,105,,4381,5271,0.831151584139632,0.7839076579339765,0.8783955103452874
01,107,,11527,13516,0.8528410772417875,0.8263369688678238,0.8793451856157511
01,109,,16777,19373,0.8659990708718319,0.8446984416795447,0.8872997000641192
01,111,,13466,15868,0.8486261658684144,0.8193968808649681,0.8778554508718608
01,113,,34721,39900,0.8702005012531329,0.851626302610408,0.8887746998958578
01,115,,58225,66307,0.878112416486947,0.8636866985497609,0.8925381344241332
01,117,,149914,158564,0.9454478948563356,0.9397728828478132,0.951122906864858
01,119,,6036,6991,0.8633957945930482,0.8193047759215804,0.907486813264516
01,121,,49993,58163,0.8595326926052645,0.8446518427559582,0.8744135424545709
01,123,,25990,29852,0.8706284336057886,0.8512810094421428,0.8899758577694343
01,125,,131986,144243,0.9150253391845705,0.9076023421271223,0.9224483362420187
01,127,,37706,44765,0.8423098402770022,0.8231633692361909,0.8614563113178134
01,129,,9561,10671,0.8959797582232218,0.8638394500608791,0.9281200663855645
01,131,,5659,6951,0.8141274636742915,0.7677903247024069,0.860464602646176
01,133,,13228,17059,0.7754264611055748,0.7460201303825125,0.8048327918286371
02,000,,458914,490552,0.9355053083057454,0.9317270863850176,0.9392835302264733
02,013,,2253,2594,0.8685427910562837,0.7337050902691672,1
02,016,,3808,4201,0.906450845036896,0.870977519707189,0.941924170366603
02,020,,181512,192864,0.9411398705823792,,
02,050,,8329,10133,0.8219678278890753,0.8068330773262558,0.8371025784518948
02,060,,715,736,0.9714673913043478,0.9529518950527132,0.9899828875559824
02,063,,4634,4811,0.9632093119933486,0.9431985557219,0.9832200682647971
02,066,,1661,1835,0.9051771117166213,0.8753712197148159,0.9349830037184267
02,068,,1447,1563,0.925783749200256,0.7253667429587312,1
02,070,,2533,2849,0.8890838890838891,0.8660860080042436,0.9120817701635346
02,090,,58271,61502,0.9474651230854281,0.935149155631595,0.9597810905392612
02,100,,1555,1583,0.9823120656980417,0.964130824223599,1
02,105,,1665,1771,0.9401468097120271,0.9140262996380435,0.9662673197860108
02,110,,21657,22748,0.9520397397573414,0.9364577179300612,0.9676217615846215
02,122,,40650,42942,0.9466256811513204,0.9381803913438336,0.9550709709588072
02,130,,9538,9970,0.9566700100300902,0.9445185614168383,0.9688214586433421
02,150,,7810,8425,0.9270029673590504,0.8765570215644061,0.9774489131536948
02,158,,3144,3930,0.8,0.7515941098751905,0.8484058901248096
02,164,,637,692,0.9205202312138728,0.8629364727494865,0.9781039896782592
02,170,,70426,74849,0.9409076941575706,0.9340189385032788,0.9477964498118624
02,180,,4955,5513,0.8987846907309994,0.8799112027689584,0.9176581786930404
02,185,,6229,7135,0.87302032235459,0.8442788367880165,0.9017618079211636
02,188,,3419,4007,0.8532568005989518,0.837219159634436,0.8692944415634676
02,195,,2264,2502,0.9048760991207034,0.8469846195320705,0.9627675787093364
02,198,,3777,4113,0.9183078045222466,0.9026761984239597,0.9339394106205334
02,220,,5808,6125,0.9482448979591837,0.9302731307085117,0.9662166652098556
02,230,,905,968,0.9349173553719008,0.855587640624366,1
02,240,,4427,4748,0.9323925863521483,0.907866358638363,0.9569188140659336
02,275,,1449,1548,0.936046511627907,0.9220494058184684,0.9500436174373456
02,282,,398,425,0.9364705882352942,0.8390291827935308,1
02,290,,3038,3470,0.8755043227665706,0.8285414340783409,0.9224672114548004
04,000,,4547940,5088675,0.8937375642971893,0.8921352213455066,0.895339907248872
04,001,,36004,42350,0.8501534828807557,0.8389494746333837,0.8613574911281277
04,003,,80164,89778,0.8929136314019025,0.8841903249060251,0.9016369378977799
04,005,,81146,88196,0.9200644020136968,0.9122396217050939,0.9278891823222997
04,007,,36538,40390,0.9046298588759594,0.8898392611895158,0.9194204565624029
04,009,,21438,25235,0.8495343768575392,0.8290359769860878,0.8700327767289906
04,011,,5449,6374,0.8548791967367431,0.812522445010534,0.8972359484629522
04,012,,11435,13434,0.8511984516897424,0.8186515284668303,0.8837453749126545
04,013,,2794889,3113890,0.8975554692041144,,
04,015,,151850,172400,0.880800464037123,0.8726885008949584,0.8889124271792875
04,017,,62829,72679,0.8644725436508482,0.8537462412410495,0.875198846060647
04,019,,660828,730009,0.9052326752135933,0.9017363272779861,0.9087290231492005
04,021,,296139,332152,0.891576747994894,0.8856655965262679,0.89748789946352
04,023,,24379,31825,0.7660329929300864,0.7447419193440938,0.787324066516079
04,025,,177970,192027,0.9267967525400074,0.9193915735460212,0.9342019315339936
04,027,,106882,137936,0.7748666048022271,0.7622537273877708,0.7874794822166835
05,000,,1827162,2059172,0.8873284990277646,0.8846305219517945,0.8900264761037346
05,001,,9765,11422,0.8549290842234285,0.8255172101919157,0.8843409582549413
05,003,,11247,12831,0.8765489829319617,0.852606195817771,0.9004917700461524
05,005,,29038,32363,0.8972592157710966,0.8806871494165772,0.9138312821256159
05,007,,182116,201229,0.9050186603322583,0.8984537357472279,0.9115835849172887
05,009,,24691,26726,0.9238569183566564,0.9078171919213726,0.9398966447919402
05,011,,5935,6878,0.862896190753126,0.832946952711151,0.8928454287951009
05,013,,2979,3420,0.8710526315789474,0.8257281128848365,0.9163771502730583
05,015,,17327,20424,0.8483646690168429,0.8249849993666047,0.8717443386670811
05,017,,5690,6836,0.8323581041544763,0.7908042393029899,0.8739119690059627
05,019,,11055,12380,0.8929725363489499,0.8684106554078965,0.9175344172900033
05,021,,8954,10227,0.8755255695707441,0.8507639163526631,0.9002872227888251
05,023,,16702,18816,0.8876488095238095,0.8676360776833032,0.9076615413643159
05,025,,4941,5333,0.9264954059628727,0.8969972547172593,0.9559935572084861
05,027,,12401,13977,0.8872433283251056,0.8719668425206056,0.9025198141296055
05,029,,13171,14626,0.9005196225899084,0.8750314408837251,0.9260078042960916
05,031,,65439,72548,0.9020097039201632,0.888665919681264,0.9153534881590625
05,033,,36112,41689,0.8662237040946053,0.8463731674269512,0.8860742407622593
05,035,,25935,30358,0.8543052902035707,0.8359129092344753,0.8726976711726662
05,037,,9776,11496,0.8503827418232429,0.8176652184914811,0.8831002651550047
05,039,,3882,4520,0.8588495575221239,0.8165513871988281,0.9011477278454196
05,041,,5733,7357,0.7792578496669839,0.7387284323498756,0.8197872669840921
05,043,,9819,11055,0.8881953867028494,0.8603864305644312,0.9160043428412675
